name,bus,carrier,p_nom,marginal_cost,efficiency
C.H El Gallo,SIN,hydro,30,0,1
P.S Lunasol 1,SIN,solar,19.2,0,1
Tingambato,SIN,hydro,42,0,1
Ixtapantongo,SIN,hydro,45,0,1
C.H La villita,SIN,hydro,320,0,1
C.H El infiernito,SIN,hydro,1200,0,1
C.T Petacalco,SIN,steam_other,2778,40.8,0.33
C.T Tula,SIN,steam_other,945.6,40.8,0.33
Tula Paquete 1,SIN,gas_ccgt,560,29.87,0.49
C.T Tula__1,SIN,steam_other,660,40.8,0.33
C.T Pemex Miguel Hidalgo,SIN,steam_other,133.7,40.8,0.33
C.H Tepexi,SIN,steam_other,60,40.8,0.33
C.H Necaxa,SIN,steam_other,109,40.8,0.33
Aguas tratadas del valle de mexico,SIN,biogas,29.9,0,0.3
CI ELAN generauno 1,SIN,diesel_engine,1.84,285.05,0.35
Maniobras EVM 2,SIN,gas_ccgt,590,29.87,0.49
Energia del valle de mexico 2,SIN,gas_ccgt,342,29.87,0.49
TG Energia del valle de mexico,SIN,gas_ocgt,99,43.16,0.35
C.H Palta,SIN,hydro,36,0,1
TG Victoria,SIN,gas_ocgt,32,43.16,0.35
TG Cuautitlan,SIN,gas_ocgt,32,43.16,0.35
TG Coyotepec,SIN,gas_ocgt,64,43.16,0.35
TG Vallejo,SIN,gas_ocgt,32,43.16,0.35
CI Harinera la espiga,SIN,diesel_engine,2,285.05,0.35
TG Villa de las flores,SIN,gas_ocgt,32,43.16,0.35
CI Sanborns,SIN,diesel_engine,0.99,285.05,0.35
TG Ecatepec,SIN,gas_ocgt,32,43.16,0.35
CI Sanborns satelite,SIN,diesel_engine,0.99,285.05,0.35
TG Remedios,SIN,gas_ocgt,32,43.16,0.35
TG Tlanepantla cogeneracion,SIN,gas_ocgt,28,43.16,0.35
TG Valle de mexico,SIN,gas_ocgt,18,43.16,0.35
Valle de mexico 2,SIN,steam_other,644,40.8,0.33
C.T Valle de mexico,SIN,steam_other,549,40.8,0.33
CEGEN 11,SIN,steam_other,2,40.8,0.33
CI Goplas (AU),SIN,diesel_engine,1.42,285.05,0.35
TG Laminas acanaladas infinita (COG),SIN,gas_ocgt,6,43.16,0.35
TG Nonoalco,SIN,gas_ocgt,169,43.16,0.35
TG Aragon,SIN,gas_ocgt,32,43.16,0.35
CI Sanborns 2 (COG),SIN,diesel_engine,0.99,285.05,0.35
Lerma,SIN,steam_other,75,40.8,0.33
TG Grimann,SIN,gas_ocgt,1.6,43.16,0.35
C.T Polioles (COG),SIN,steam_other,2.5,40.8,0.33
T.G Atenco,SIN,gas_ocgt,32,43.16,0.35
