"Centro Nacional de Control de Energia"
"Estimacion de la Demanda Real del Sistema -Por Balance"
"Sistema Electrico Nacional"
"Reporte Diario"
"Fecha de Publicacion: 30/ene/2026"
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 30/ene/2026 12:25:01 hrs."
"Nota 1: Los acentos de este reporte se omiten intencionalmente por sistema."
"LIQUIDACION 0 (Dia de Operacion: 16/01/2026)"
"Sistema"," Area"," Hora"," Generacion (MWh)"," Importacion Total (MWh)"," Exportacion Total (MWh)"," Intercambio neto entre Gerencias (MWh)"," Estimacion de Demanda por Balance (MWh) "
"BCA","BCA","1","1434.98837","27.06146","35.515","               ---","1426.53484"
"BCA","BCA","2","1371.68146","65.00425","65.7047","               ---","1370.98101"
"BCA","BCA","3","1342.65293","81.01292","77.79903","               ---","1345.86682"
"BCA","BCA","4","1338.68761","83.28867","88.51813","               ---","1333.45815"
"BCA","BCA","5","1347.80737","75.14239","78.89986","               ---","1344.04991"
"BCA","BCA","6","1392.91672","44.65876","42.04957","               ---","1395.5259"
"BCA","BCA","7","1498.51312","21.81628","17.10195","               ---","1503.22745"
"BCA","BCA","8","1564.1112","27.25545","17.73787","               ---","1573.62878"
"BCA","BCA","9","1620.57751","9.11564","23.22638","               ---","1606.46677"
"BCA","BCA","10","1643.91715","17.19181","34.61902","               ---","1626.48994"
"BCA","BCA","11","1671.26985","54.63696","71.33092","               ---","1654.57589"
"BCA","BCA","12","1696.36199","63.79887","77.86341","               ---","1682.29744"
"BCA","BCA","13","1715.52794","83.64772","94.75628","               ---","1704.41938"
"BCA","BCA","14","1720.5487","118.63248","118.70092","               ---","1720.48027"
"BCA","BCA","15","1725.41876","114.74161","127.56113","               ---","1712.59924"
"BCA","BCA","16","1705.82466","131.39537","133.60011","               ---","1703.61992"
"BCA","BCA","17","1679.64592","146.33923","137.33332","               ---","1688.65183"
"BCA","BCA","18","1717.39679","140.13008","127.55212","               ---","1729.97474"
"BCA","BCA","19","1743.37427","97.76537","103.32093","               ---","1737.81871"
"BCA","BCA","20","1695.07201","100.08843","78.71326","               ---","1716.44718"
"BCA","BCA","21","1668.94137","98.26845","91.44987","               ---","1675.75995"
"BCA","BCA","22","1622.84854","112.80311","107.80146","               ---","1627.85019"
"BCA","BCA","23","1543.60496","84.91625","74.08129","               ---","1554.43993"
"BCA","BCA","24","1468.88393","67.04181","64.79505","               ---","1471.13069"
"BCS","BCA","1","280.99882","0","0","               ---","280.99882"
"BCS","BCA","2","269.3957","0","0","               ---","269.3957"
"BCS","BCA","3","260.61441","0","0","               ---","260.61441"
"BCS","BCA","4","257.35792","0","0","               ---","257.35792"
"BCS","BCA","5","257.50764","0","0","               ---","257.50764"
"BCS","BCA","6","269.07231","0","0","               ---","269.07231"
"BCS","BCA","7","288.21564","0","0","               ---","288.21564"
"BCS","BCA","8","303.10839","0","0","               ---","303.10839"
"BCS","BCA","9","316.44762","0","0","               ---","316.44762"
"BCS","BCA","10","330.81035","0","0","               ---","330.81035"
"BCS","BCA","11","343.76199","0","0","               ---","343.76199"
"BCS","BCA","12","350.56475","0","0","               ---","350.56475"
"BCS","BCA","13","354.18348","0","0","               ---","354.18348"
"BCS","BCA","14","360.65572","0","0","               ---","360.65572"
"BCS","BCA","15","364.79568","0","0","               ---","364.79568"
"BCS","BCA","16","367.9386","0","0","               ---","367.9386"
"BCS","BCA","17","370.65881","0","0","               ---","370.65881"
"BCS","BCA","18","367.10925","0","0","               ---","367.10925"
"BCS","BCA","19","379.35275","0","0","               ---","379.35275"
"BCS","BCA","20","376.83452","0","0","               ---","376.83452"
"BCS","BCA","21","366.31692","0","0","               ---","366.31692"
"BCS","BCA","22","352.15677","0","0","               ---","352.15677"
"BCS","BCA","23","327.90201","0","0","               ---","327.90201"
"BCS","BCA","24","303.91714","0","0","               ---","303.91714"
"SIN","CEN","1","3647.69272","0","0","          2720.128","6367.82072"
"SIN","CEN","2","3325.08311","0","0","          2723.615","6048.69811"
"SIN","CEN","3","3131.68883","0","0","          2651.431","5783.11983"
"SIN","CEN","4","2936.61995","0","0","          2871.004","5807.62395"
"SIN","CEN","5","2782.74561","0","0","          3013.234","5795.97961"
"SIN","CEN","6","3177.89392","0","0","          2815.122","5993.01592"
"SIN","CEN","7","3527.36102","0","0","          3074.694","6602.05502"
"SIN","CEN","8","3886.47744","0","0","          2973.344","6859.82144"
"SIN","CEN","9","3793.27048","0","0","          3319.934","7113.20448"
"SIN","CEN","10","3576.61502","0","0","          3677.896","7254.51102"
"SIN","CEN","11","3247.19887","0","0","          4174.736","7421.93487"
"SIN","CEN","12","3003.30536","0","0","          4497.821","7501.12636"
"SIN","CEN","13","2988.29569","0","0","          4503.701","7491.99669"
"SIN","CEN","14","3016.63243","0","0","          4440.988","7457.62043"
"SIN","CEN","15","3399.26883","0","0","          4150.783","7550.05183"
"SIN","CEN","16","4102.34016","0","0","          3552.195","7654.53516"
"SIN","CEN","17","4833.65876","0","0","          3042.072","7875.73076"
"SIN","CEN","18","4866.66915","0","0","          2838.204","7704.87315"
"SIN","CEN","19","4916.7778","0","0","          3063.135","7979.9128"
"SIN","CEN","20","4879.62045","0","0","          3224.643","8104.26345"
"SIN","CEN","21","4899.64655","0","0","          3158.358","8058.00455"
"SIN","CEN","22","4930.90485","0","0","          2810.153","7741.05785"
"SIN","CEN","23","4829.57215","0","0","          2568.918","7398.49015"
"SIN","CEN","24","4517.51025","0","0","          2467.788","6985.29825"
"SIN","NES","1","9948.92992","120.20479","0.64677","         -4070.975","5997.51295"
"SIN","NES","2","9703.40202","120.1998","0.65671","         -3936.505","5886.4401"
"SIN","NES","3","9522.85054","120.20634","0.66224","         -3892.899","5749.49564"
"SIN","NES","4","9426.23657","120.20277","0.66454","         -3896.708","5649.0668"
"SIN","NES","5","9494.33795","70.52258","1.07724","         -3842.351","5721.43229"
"SIN","NES","6","9471.68445","27.44612","0.04603","         -3656.998","5842.08655"
"SIN","NES","7","10188.50466","25","0.60343","         -4107.697","6105.20423"
"SIN","NES","8","10199.04222","45","5.49608","         -3898.368","6340.17814"
"SIN","NES","9","9568.59988","20","0.49715","          -3238.26","6349.84274"
"SIN","NES","10","8911.85821","89","14.6864","         -2804.863","6181.30881"
"SIN","NES","11","8801.71515","145","1.48703","         -2848.008","6097.22012"
"SIN","NES","12","8600.18791","96.49853","0","         -2655.653","6041.03345"
"SIN","NES","13","8377.7279","199","3.25898","         -2733.536","5839.93293"
"SIN","NES","14","8192.73852","210","2.05808","         -2585.559","5815.12145"
"SIN","NES","15","8257.66438","169.39065","0.6347","         -2589.234","5837.18633"
"SIN","NES","16","8383.24928","169","1.47317","         -2529.185","6021.59111"
"SIN","NES","17","8645.21459","149","1.53842","         -2644.613","6148.06317"
"SIN","NES","18","9138.76537","2.76233","0","         -3152.886","5988.6417"
"SIN","NES","19","9739.25203","0","0.80359","         -3658.823","6079.62544"
"SIN","NES","20","9747.80579","0","0.80369","          -3622.22","6124.7821"
"SIN","NES","21","9730.45792","0","0.8013","         -3645.671","6083.98562"
"SIN","NES","22","9950.07557","0","0.79744","         -3955.995","5993.28312"
"SIN","NES","23","9647.39866","59","14.93565","         -3791.216","5900.247"
"SIN","NES","24","9834.76959","59","0.44233","         -3999.193","5894.13426"
"SIN","NOR","1","3415.06814","0","0","         -1173.028","2242.04014"
"SIN","NOR","2","3315.77116","0","0","         -1162.319","2153.45216"
"SIN","NOR","3","3234.20057","0","0","         -1153.799","2080.40157"
"SIN","NOR","4","3218.96032","0","0","         -1165.167","2053.79332"
"SIN","NOR","5","3224.92836","0","0","          -1199.08","2025.84836"
"SIN","NOR","6","3220.03023","0","0","         -1184.619","2035.41123"
"SIN","NOR","7","3307.41542","0","0","         -1217.175","2090.24042"
"SIN","NOR","8","3331.48943","0","0","         -1158.887","2172.60243"
"SIN","NOR","9","3318.35476","0","0","         -1087.254","2231.10076"
"SIN","NOR","10","3512.39482","0","0","           -1235.5","2276.89482"
"SIN","NOR","11","3732.11685","0","0","         -1427.926","2304.19085"
"SIN","NOR","12","3710.11251","0","0","         -1389.996","2320.11651"
"SIN","NOR","13","3779.4357","0","0","         -1420.328","2359.1077"
"SIN","NOR","14","3741.44053","0","0","         -1371.068","2370.37253"
