"Centro Nacional de Control de Energia"
"Estimacion de la Demanda Real del Sistema -Por Balance"
"Sistema Electrico Nacional"
"Reporte Diario"
"Fecha de Publicacion: 28/feb/2026"
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 28/feb/2026 12:25:01 hrs."
"Nota 1: Los acentos de este reporte se omiten intencionalmente por sistema."
"LIQUIDACION 0 (Dia de Operacion: 14/02/2026)"
"Sistema"," Area"," Hora"," Generacion (MWh)"," Importacion Total (MWh)"," Exportacion Total (MWh)"," Intercambio neto entre Gerencias (MWh)"," Estimacion de Demanda por Balance (MWh) "
"BCA","BCA","1","1427.27286","243.28036","237.58425","               ---","1432.96897"
"BCA","BCA","2","1377.30728","222.4406","221.69614","               ---","1378.05175"
"BCA","BCA","3","1342.44388","231.82332","234.18589","               ---","1340.08131"
"BCA","BCA","4","1318.00331","214.3653","210.83919","               ---","1321.52942"
"BCA","BCA","5","1317.77076","226.81559","217.86252","               ---","1326.72384"
"BCA","BCA","6","1329.44312","217.20693","203.45054","               ---","1343.1995"
"BCA","BCA","7","1355.07762","219.43584","222.22545","               ---","1352.28802"
"BCA","BCA","8","1416.87685","207.81702","221.86548","               ---","1402.8284"
"BCA","BCA","9","1452.15076","230.87026","238.77267","               ---","1444.24834"
"BCA","BCA","10","1498.14363","229.03817","242.05665","               ---","1485.12514"
"BCA","BCA","11","1506.37259","247.41105","248.44626","               ---","1505.33738"
"BCA","BCA","12","1540.96827","258.26609","255.5568","               ---","1543.67756"
"BCA","BCA","13","1471.34946","363.26761","278.94495","               ---","1555.67212"
"BCA","BCA","14","1473.62525","363.75661","289.67177","               ---","1547.71009"
"BCA","BCA","15","1546.66409","325.79105","328.15282","               ---","1544.30232"
"BCA","BCA","16","1569.03567","297.56188","318.40937","               ---","1548.18818"
"BCA","BCA","17","1562.0874","282.07407","293.93776","               ---","1550.2237"
"BCA","BCA","18","1590.10825","265.03927","278.62378","               ---","1576.52375"
"BCA","BCA","19","1630.43556","274.79167","292.92941","               ---","1612.29782"
"BCA","BCA","20","1599.67244","276.02422","288.53429","               ---","1587.16237"
"BCA","BCA","21","1566.91372","260.67348","275.52512","               ---","1552.06208"
"BCA","BCA","22","1512.97962","247.95073","257.37897","               ---","1503.55138"
"BCA","BCA","23","1450.58967","230.8506","247.39569","               ---","1434.04458"
"BCA","BCA","24","1355.7976","248.51528","245.88947","               ---","1358.42341"
"BCS","BCA","1","294.00789","0","0","               ---","294.00789"
"BCS","BCA","2","280.26757","0","0","               ---","280.26757"
"BCS","BCA","3","269.59912","0","0","               ---","269.59912"
"BCS","BCA","4","263.26618","0","0","               ---","263.26618"
"BCS","BCA","5","261.67069","0","0","               ---","261.67069"
"BCS","BCA","6","266.24762","0","0","               ---","266.24762"
"BCS","BCA","7","277.29255","0","0","               ---","277.29255"
"BCS","BCA","8","295.00488","0","0","               ---","295.00488"
"BCS","BCA","9","314.48873","0","0","               ---","314.48873"
"BCS","BCA","10","326.79109","0","0","               ---","326.79109"
"BCS","BCA","11","336.62033","0","0","               ---","336.62033"
"BCS","BCA","12","341.96336","0","0","               ---","341.96336"
"BCS","BCA","13","345.76078","0","0","               ---","345.76078"
"BCS","BCA","14","348.09769","0","0","               ---","348.09769"
"BCS","BCA","15","350.96701","0","0","               ---","350.96701"
"BCS","BCA","16","356.25012","0","0","               ---","356.25012"
"BCS","BCA","17","360.77301","0","0","               ---","360.77301"
"BCS","BCA","18","361.33899","0","0","               ---","361.33899"
"BCS","BCA","19","368.61269","0","0","               ---","368.61269"
"BCS","BCA","20","367.71627","0","0","               ---","367.71627"
"BCS","BCA","21","354.07195","0","0","               ---","354.07195"
"BCS","BCA","22","337.82157","0","0","               ---","337.82157"
"BCS","BCA","23","316.15736","0","0","               ---","316.15736"
"BCS","BCA","24","294.07154","0","0","               ---","294.07154"
"SIN","CEN","1","3602.53634","0","0","          2766.999","6369.53534"
"SIN","CEN","2","3604.33052","0","0","          2541.777","6146.10752"
"SIN","CEN","3","3493.95902","0","0","          2442.324","5936.28302"
"SIN","CEN","4","3194.45266","0","0","          2661.494","5855.94666"
"SIN","CEN","5","3190.38736","0","0","          2625.912","5816.29936"
"SIN","CEN","6","3304.59327","0","0","          2603.932","5908.52527"
"SIN","CEN","7","3602.04449","0","0","          2430.646","6032.69049"
"SIN","CEN","8","3790.85652","0","0","          2413.028","6203.88452"
"SIN","CEN","9","3606.59124","0","0","          2933.822","6540.41324"
