"Centro Nacional de Control de Energia"
"Estimacion de la Demanda Real del Sistema -Por Balance"
"Sistema Electrico Nacional"
"Reporte Diario"
"Fecha de Publicacion: 02/mar/2026"
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 02/mar/2026 12:25:01 hrs."
"Nota 1: Los acentos de este reporte se omiten intencionalmente por sistema."
"LIQUIDACION 0 (Dia de Operacion: 16/02/2026)"
"Sistema"," Area"," Hora"," Generacion (MWh)"," Importacion Total (MWh)"," Exportacion Total (MWh)"," Intercambio neto entre Gerencias (MWh)"," Estimacion de Demanda por Balance (MWh) "
"BCA","BCA","1","1247.34332","223.91106","233.04239","               ---","1238.212"
"BCA","BCA","2","1204.27567","246.58261","249.16757","               ---","1201.69071"
"BCA","BCA","3","1175.3512","245.26924","241.39021","               ---","1179.23023"
"BCA","BCA","4","1176.04564","228.89194","224.94272","               ---","1179.99487"
"BCA","BCA","5","1200.9804","235.43778","222.32559","               ---","1214.09259"
"BCA","BCA","6","1298.01309","228.67849","221.88388","               ---","1304.8077"
"BCA","BCA","7","1430.74864","236.79004","224.16177","               ---","1443.3769"
"BCA","BCA","8","1544.10771","227.89606","211.37409","               ---","1560.62967"
"BCA","BCA","9","1639.13988","253.37534","274.17765","               ---","1618.33757"
"BCA","BCA","10","1642.3334","241.74569","240.5579","               ---","1643.52119"
"BCA","BCA","11","1692.03071","223.45545","220.44259","               ---","1695.04356"
"BCA","BCA","12","1724.62585","202.11754","215.32929","               ---","1711.41411"
"BCA","BCA","13","1714.14097","225.87347","212.91079","               ---","1727.10365"
"BCA","BCA","14","1737.56317","211.29227","214.18509","               ---","1734.67036"
"BCA","BCA","15","1754.74665","204.7747","212.57578","               ---","1746.94557"
"BCA","BCA","16","1744.07016","234.59951","238.9494","               ---","1739.72027"
"BCA","BCA","17","1719.48436","234.37072","216.22585","               ---","1737.62923"
"BCA","BCA","18","1760.77958","192.96905","197.71159","               ---","1756.03705"
"BCA","BCA","19","1813.93505","193.56388","199.44986","               ---","1808.04906"
"BCA","BCA","20","1798.30079","210.95427","208.88159","               ---","1800.37347"
"BCA","BCA","21","1784.78695","217.70055","230.32916","               ---","1772.15834"
