snapshot,zona,demand_mw
2026-03-11 00:00:00,BCA,1643.0
2026-03-11 01:00:00,BCA,1557.0
2026-03-11 02:00:00,BCA,1500.0
2026-03-11 03:00:00,BCA,1471.0
2026-03-11 04:00:00,BCA,1455.0
2026-03-11 05:00:00,BCA,1431.0
2026-03-11 06:00:00,BCA,1427.0
2026-03-11 07:00:00,BCA,1539.0
2026-03-11 08:00:00,BCA,1609.0
2026-03-11 09:00:00,BCA,1656.0
2026-03-11 10:00:00,BCA,1672.0
2026-03-11 11:00:00,BCA,1680.0
2026-03-11 12:00:00,BCA,1703.0
2026-03-11 13:00:00,BCA,1733.0
2026-03-11 14:00:00,BCA,1770.0
2026-03-11 15:00:00,BCA,1831.0
2026-03-11 16:00:00,BCA,1869.0
2026-03-11 17:00:00,BCA,1868.0
2026-03-11 18:00:00,BCA,1853.0
2026-03-11 19:00:00,BCA,1844.0
2026-03-11 20:00:00,BCA,1906.0
2026-03-11 21:00:00,BCA,1898.0
2026-03-11 23:00:00,BCA,1853.0
2026-03-11 00:00:00,BCS,294.0
2026-03-11 01:00:00,BCS,278.0
2026-03-11 02:00:00,BCS,267.0
2026-03-11 03:00:00,BCS,255.0
2026-03-11 04:00:00,BCS,250.0
2026-03-11 05:00:00,BCS,248.0
2026-03-11 06:00:00,BCS,260.0
2026-03-11 07:00:00,BCS,276.0
2026-03-11 08:00:00,BCS,291.0
2026-03-11 09:00:00,BCS,300.0
2026-03-11 10:00:00,BCS,309.0
2026-03-11 11:00:00,BCS,315.0
2026-03-11 12:00:00,BCS,320.0
2026-03-11 13:00:00,BCS,324.0
2026-03-11 14:00:00,BCS,329.0
2026-03-11 15:00:00,BCS,337.0
2026-03-11 16:00:00,BCS,344.0
2026-03-11 17:00:00,BCS,351.0
2026-03-11 18:00:00,BCS,352.0
2026-03-11 19:00:00,BCS,354.0
2026-03-11 20:00:00,BCS,363.0
2026-03-11 21:00:00,BCS,355.0
2026-03-11 23:00:00,BCS,343.0
2026-03-11 00:00:00,SIN,38218.0
2026-03-11 01:00:00,SIN,36683.0
2026-03-11 02:00:00,SIN,35603.0
2026-03-11 03:00:00,SIN,35058.0
2026-03-11 04:00:00,SIN,34842.0
2026-03-11 05:00:00,SIN,35001.0
2026-03-11 06:00:00,SIN,36055.0
2026-03-11 07:00:00,SIN,36834.0
2026-03-11 08:00:00,SIN,37938.0
2026-03-11 09:00:00,SIN,38539.0
2026-03-11 10:00:00,SIN,38777.0
2026-03-11 11:00:00,SIN,39171.0
2026-03-11 12:00:00,SIN,39646.0
2026-03-11 13:00:00,SIN,39973.0
2026-03-11 14:00:00,SIN,40694.0
2026-03-11 15:00:00,SIN,41729.0
2026-03-11 16:00:00,SIN,42836.0
2026-03-11 17:00:00,SIN,43336.0
2026-03-11 18:00:00,SIN,43178.0
2026-03-11 19:00:00,SIN,44622.0
2026-03-11 20:00:00,SIN,44552.0
2026-03-11 21:00:00,SIN,43891.0
